date,team1,team1_score,team2,team2_score,team1_FGA,team1_FG_pct,team1_FTA,team1_FT_pct,team1_TRB,team1_fg3a,team1_fg3_pct,team1_TOV,team1_stl,team1_blk,team1_ast,team2_FGA,team2_FG_pct,team2_FTA,team2_FT_pct,team2_TRB,team2_fg3a,team2_fg3_pct,team2_TOV,team2_stl,team2_blk,team2_ast,Home_Team_ID,Away_Team_ID,HomeWin,month
2023-11-01,Washington,121,Atlanta,130,101,0.505,14,0.643,35,40,0.25,11,14,3,32,92,0.5,32,0.906,57,32,0.281,20,8,3,26,22,0,1,0
2023-11-01,Indiana,104,Boston,155,101,0.455,12,0.583,31,37,0.135,9,6,6,26,95,0.568,28,0.964,57,35,0.571,11,5,2,27,20,1,1,0
2023-11-01,Chicago,105,Dallas,114,89,0.472,11,0.909,43,33,0.333,13,10,3,19,81,0.457,28,0.714,45,48,0.417,13,7,2,23,17,2,1,0
2023-11-01,Portland,110,Detroit,101,81,0.469,33,0.818,44,20,0.35,17,10,7,23,90,0.444,11,0.909,38,29,0.379,18,12,4,24,13,3,0,0
2023-11-01,Sacramento,101,Golden State,102,88,0.409,23,0.783,48,35,0.314,12,8,4,24,81,0.481,15,0.867,36,31,0.355,17,5,6,32,19,4,1,0
2023-11-01,Charlotte,119,Houston,128,90,0.5,25,0.72,44,27,0.407,16,9,8,21,84,0.524,23,0.826,38,37,0.568,17,10,2,35,29,5,1,0
2023-11-01,LA Clippers,125,LA Lakers,130,99,0.475,27,0.63,46,34,0.412,13,12,1,22,90,0.511,36,0.75,51,32,0.344,14,10,9,28,23,6,1,0
2023-11-01,Brooklyn,109,Miami,105,82,0.451,26,0.731,47,36,0.444,18,11,4,27,91,0.429,18,0.778,46,38,0.342,16,10,5,22,25,7,0,0
2023-11-01,Denver,89,Minnesota,110,96,0.396,10,0.7,43,33,0.182,15,6,10,23,83,0.458,27,0.963,47,21,0.381,13,9,5,20,28,8,1,0
2023-11-01,Cleveland,95,New York,89,74,0.432,20,0.95,46,32,0.375,18,7,5,22,92,0.348,30,0.667,50,30,0.167,13,10,3,18,18,9,0,0
2023-11-01,New Orleans,110,Oklahoma City,106,102,0.392,29,0.586,58,42,0.31,10,8,5,23,88,0.432,25,0.92,49,34,0.206,14,6,5,23,27,10,0,0
